,startTime
0,2021-02-12T01:56:00.000
1,2021-02-11T00:58:00.000
2,2021-02-10T01:28:00.000
3,2021-02-09T02:01:00.000
4,2021-02-08T01:31:30.000
5,2021-02-07T01:39:30.000
6,2021-02-06T18:11:00.000
7,2021-02-06T00:47:30.000
8,2021-02-04T01:44:00.000
9,2021-02-03T01:52:00.000
10,2021-02-02T01:13:00.000
11,2021-02-01T01:04:30.000
12,2021-01-31T01:12:00.000
13,2021-01-29T01:13:30.000
14,2021-01-28T01:19:30.000
15,2021-01-27T02:11:30.000
16,2021-01-26T01:45:30.000
17,2021-01-25T02:26:30.000
18,2021-01-24T01:37:00.000
19,2021-01-23T01:44:30.000
20,2021-01-21T01:49:00.000
21,2021-01-20T00:58:00.000
22,2021-01-19T00:39:00.000
23,2021-01-18T00:05:30.000
24,2021-01-16T23:59:30.000
25,2021-01-15T23:44:30.000
26,2021-01-15T01:53:30.000
27,2021-01-14T01:41:30.000
0,2021-03-15T01:08:00.000
1,2021-03-13T00:20:00.000
2,2021-03-12T00:46:30.000
3,2021-03-11T00:12:00.000
4,2021-03-10T00:40:00.000
5,2021-03-09T00:39:30.000
6,2021-03-08T01:47:00.000
7,2021-03-07T01:15:30.000
8,2021-03-06T00:57:30.000
9,2021-03-05T21:01:00.000
10,2021-03-05T01:30:30.000
11,2021-03-04T00:26:00.000
12,2021-03-03T01:54:30.000
13,2021-03-02T01:23:00.000
14,2021-03-01T01:01:00.000
15,2021-02-28T01:39:30.000
16,2021-02-27T00:57:00.000
17,2021-02-26T01:16:00.000
18,2021-02-25T01:10:00.000
19,2021-02-24T01:40:00.000
20,2021-02-23T02:07:00.000
21,2021-02-22T02:13:30.000
22,2021-02-21T01:58:00.000
23,2021-02-20T00:49:00.000
24,2021-02-19T00:48:00.000
25,2021-02-18T02:06:00.000
26,2021-02-17T01:16:00.000
27,2021-02-16T01:33:30.000
28,2021-02-15T01:46:00.000
29,2021-02-14T04:06:00.000
0,2021-04-14T01:02:30.000
1,2021-04-13T01:08:00.000
2,2021-04-12T01:09:30.000
3,2021-04-11T01:00:30.000
4,2021-04-10T13:50:00.000
5,2021-04-10T00:42:30.000
6,2021-04-09T01:14:30.000
7,2021-04-08T01:31:30.000
8,2021-04-07T01:07:30.000
9,2021-04-06T01:09:00.000
10,2021-04-04T00:13:00.000
11,2021-04-02T23:22:00.000
12,2021-04-02T01:16:00.000
13,2021-04-01T01:37:00.000
14,2021-03-31T00:53:00.000
15,2021-03-30T01:27:00.000
16,2021-03-29T01:07:00.000
17,2021-03-28T00:13:00.000
18,2021-03-27T11:26:00.000
19,2021-03-26T23:45:00.000
20,2021-03-26T16:14:30.000
21,2021-03-26T00:52:00.000
22,2021-03-25T02:01:30.000
23,2021-03-24T01:32:00.000
24,2021-03-23T00:58:00.000
25,2021-03-22T00:44:30.000
26,2021-03-21T01:23:00.000
27,2021-03-20T00:42:00.000
28,2021-03-19T01:08:30.000
29,2021-03-18T00:50:30.000
30,2021-03-17T01:38:00.000
31,2021-03-16T01:20:30.000
32,2021-03-15T01:08:00.000
0,2021-05-14T00:21:30.000
1,2021-05-13T00:22:00.000
2,2021-05-12T00:33:00.000
3,2021-05-11T00:53:00.000
4,2021-05-10T00:32:00.000
5,2021-05-09T00:33:00.000
6,2021-05-08T00:32:00.000
7,2021-05-07T00:08:00.000
8,2021-05-06T00:26:00.000
9,2021-05-05T00:19:30.000
10,2021-05-04T00:31:00.000
11,2021-05-03T01:39:30.000
12,2021-05-02T01:30:00.000
13,2021-05-01T14:58:30.000
14,2021-05-01T00:11:30.000
15,2021-04-30T01:28:00.000
16,2021-04-28T00:52:30.000
17,2021-04-27T00:38:00.000
18,2021-04-26T00:24:00.000
19,2021-04-25T00:19:00.000
20,2021-04-24T00:29:00.000
21,2021-04-23T00:29:00.000
22,2021-04-22T00:34:00.000
23,2021-04-21T00:51:30.000
24,2021-04-20T00:30:00.000
25,2021-04-19T00:39:00.000
26,2021-04-18T01:16:30.000
27,2021-04-17T00:42:30.000
28,2021-04-16T01:34:30.000
29,2021-04-15T02:05:00.000
30,2021-04-14T01:02:30.000
0,2021-06-13T01:09:00.000
1,2021-06-12T01:52:00.000
2,2021-06-11T01:10:00.000
3,2021-06-10T00:54:00.000
4,2021-06-08T00:24:30.000
5,2021-06-07T00:39:00.000
6,2021-06-06T01:05:00.000
7,2021-06-05T00:24:30.000
8,2021-06-04T03:19:30.000
9,2021-06-02T23:54:30.000
10,2021-06-02T00:49:30.000
11,2021-06-01T00:57:00.000
12,2021-05-31T01:40:00.000
13,2021-05-30T01:25:30.000
14,2021-05-29T01:22:00.000
15,2021-05-27T00:29:30.000
16,2021-05-26T00:57:30.000
17,2021-05-25T16:44:30.000
18,2021-05-25T00:21:00.000
19,2021-05-24T00:39:00.000
20,2021-05-23T00:25:30.000
21,2021-05-22T13:21:00.000
22,2021-05-22T01:16:30.000
23,2021-05-19T23:47:00.000
24,2021-05-18T23:51:30.000
25,2021-05-18T01:11:30.000
26,2021-05-17T01:20:00.000
27,2021-05-16T00:57:00.000
28,2021-05-15T00:49:00.000
29,2021-05-14T00:21:30.000
0,2021-07-13T01:18:30.000
1,2021-07-12T01:05:30.000
2,2021-07-11T00:07:00.000
3,2021-07-10T09:57:00.000
4,2021-07-10T01:14:30.000
5,2021-07-09T00:31:30.000
6,2021-07-07T09:45:00.000
7,2021-07-06T02:42:00.000
8,2021-07-05T15:36:30.000
9,2021-07-05T01:39:00.000
10,2021-07-04T01:02:30.000
11,2021-07-03T02:26:00.000
12,2021-07-02T12:47:00.000
13,2021-07-02T02:02:30.000
14,2021-06-30T02:00:30.000
15,2021-06-29T02:01:00.000
16,2021-06-28T02:03:30.000
17,2021-06-27T01:15:30.000
18,2021-06-26T02:38:00.000
19,2021-06-25T01:50:30.000
20,2021-06-24T00:16:00.000
21,2021-06-23T03:02:30.000
22,2021-06-22T00:33:30.000
23,2021-06-21T00:01:00.000
24,2021-06-20T02:13:00.000
25,2021-06-19T01:44:00.000
26,2021-06-18T01:26:00.000
27,2021-06-17T01:56:30.000
28,2021-06-15T01:24:30.000
29,2021-06-14T00:50:00.000
30,2021-06-13T01:09:00.000
0,2021-08-12T02:12:30.000
1,2021-08-11T02:22:00.000
2,2021-08-10T02:09:00.000
3,2021-08-09T01:04:30.000
4,2021-08-08T01:32:00.000
5,2021-08-07T01:01:30.000
6,2021-08-06T09:38:00.000
7,2021-08-06T00:40:00.000
8,2021-08-05T01:24:00.000
9,2021-08-04T02:30:30.000
10,2021-08-03T01:22:30.000
11,2021-08-02T00:49:30.000
12,2021-07-31T01:02:30.000
13,2021-07-29T01:26:00.000
14,2021-07-28T01:13:30.000
15,2021-07-25T00:29:30.000
16,2021-07-22T02:08:30.000
17,2021-07-21T01:51:30.000
18,2021-07-20T01:25:30.000
19,2021-07-19T03:30:00.000
20,2021-07-18T03:10:00.000
21,2021-07-17T02:02:30.000
22,2021-07-15T00:38:00.000
23,2021-07-14T00:46:00.000
24,2021-07-13T01:18:30.000
0,2021-09-10T00:19:00.000
1,2021-09-09T00:36:30.000
2,2021-09-08T00:40:00.000
3,2021-09-07T00:10:30.000
4,2021-09-05T23:50:00.000
5,2021-09-05T01:28:00.000
6,2021-09-04T00:49:30.000
7,2021-09-02T23:47:30.000
8,2021-09-02T00:14:00.000
9,2021-09-01T00:08:00.000
10,2021-08-31T14:22:30.000
11,2021-08-30T23:34:00.000
12,2021-08-30T00:55:30.000
13,2021-08-29T00:09:00.000
14,2021-08-28T01:59:00.000
15,2021-08-27T01:21:00.000
16,2021-08-26T00:22:30.000
17,2021-08-25T01:30:30.000
18,2021-08-24T03:11:30.000
19,2021-08-23T04:26:00.000
20,2021-08-22T01:42:00.000
21,2021-08-21T13:00:30.000
22,2021-08-21T00:28:30.000
23,2021-08-20T01:15:30.000
24,2021-08-19T02:10:00.000
25,2021-08-18T00:52:30.000
26,2021-08-17T02:44:00.000
27,2021-08-16T02:32:00.000
28,2021-08-15T02:31:00.000
29,2021-08-13T02:35:00.000
30,2021-08-12T02:12:30.000
0,2021-10-11T01:56:00.000
1,2021-10-10T01:06:00.000
2,2021-10-09T01:28:30.000
3,2021-10-08T01:11:30.000
4,2021-10-07T00:29:00.000
5,2021-10-06T00:17:00.000
6,2021-10-05T00:37:30.000
7,2021-10-04T00:20:30.000
8,2021-10-03T00:43:00.000
9,2021-10-02T12:20:30.000
10,2021-10-02T00:34:30.000
11,2021-10-01T01:04:00.000
12,2021-09-30T01:03:30.000
13,2021-09-28T23:43:00.000
14,2021-09-28T02:01:00.000
15,2021-09-27T01:37:00.000
16,2021-09-26T18:24:30.000
17,2021-09-26T01:55:00.000
18,2021-09-25T01:47:00.000
19,2021-09-24T01:33:00.000
20,2021-09-23T12:37:00.000
21,2021-09-23T01:17:00.000
22,2021-09-22T00:25:00.000
23,2021-09-21T00:53:00.000
24,2021-09-20T01:10:00.000
25,2021-09-19T00:25:00.000
26,2021-09-17T23:23:30.000
27,2021-09-17T00:17:00.000
28,2021-09-16T01:35:30.000
29,2021-09-15T00:13:30.000
30,2021-09-14T00:20:00.000
31,2021-09-13T00:46:00.000
32,2021-09-12T01:28:30.000
0,2021-11-10T01:20:00.000
1,2021-11-09T01:18:00.000
2,2021-11-08T00:46:00.000
3,2021-11-07T01:14:00.000
4,2021-11-06T01:20:30.000
5,2021-11-05T01:33:30.000
6,2021-11-04T02:00:00.000
7,2021-11-03T00:53:30.000
8,2021-11-02T03:18:00.000
9,2021-11-01T00:40:00.000
10,2021-10-31T01:32:00.000
11,2021-10-30T00:29:00.000
12,2021-10-29T01:52:30.000
13,2021-10-28T01:05:30.000
14,2021-10-27T00:49:00.000
15,2021-10-26T00:49:00.000
16,2021-10-25T00:17:30.000
17,2021-10-24T00:06:30.000
18,2021-10-23T00:50:00.000
19,2021-10-22T00:42:00.000
20,2021-10-21T00:46:00.000
21,2021-10-20T00:54:00.000
22,2021-10-19T02:01:30.000
23,2021-10-18T00:32:00.000
24,2021-10-16T01:53:00.000
25,2021-10-15T01:07:00.000
26,2021-10-14T00:57:30.000
27,2021-10-13T00:22:00.000
28,2021-10-12T02:13:30.000
29,2021-10-11T01:56:00.000
0,2021-12-10T00:18:00.000
1,2021-12-09T01:52:00.000
2,2021-12-08T01:10:30.000
3,2021-12-07T01:20:30.000
4,2021-12-06T01:33:30.000
5,2021-12-05T01:42:00.000
6,2021-12-04T00:47:30.000
7,2021-12-03T00:53:30.000
8,2021-12-02T01:25:00.000
9,2021-12-01T21:33:30.000
10,2021-12-01T00:46:30.000
11,2021-11-30T00:58:00.000
12,2021-11-29T00:34:00.000
13,2021-11-28T00:59:00.000
14,2021-11-25T02:14:30.000
15,2021-11-24T01:14:30.000
16,2021-11-23T00:22:00.000
17,2021-11-22T00:55:30.000
18,2021-11-21T01:43:00.000
19,2021-11-20T00:09:00.000
20,2021-11-19T01:14:00.000
21,2021-11-18T01:06:00.000
22,2021-11-17T00:27:00.000
23,2021-11-16T01:17:00.000
24,2021-11-15T00:11:00.000
25,2021-11-14T00:46:30.000
26,2021-11-13T00:55:00.000
27,2021-11-12T01:52:30.000
28,2021-11-10T01:20:00.000
0,2022-01-09T02:19:30.000
1,2022-01-08T00:24:30.000
2,2022-01-07T00:42:00.000
3,2022-01-06T01:08:00.000
4,2022-01-05T01:27:00.000
5,2022-01-04T02:08:30.000
6,2022-01-03T01:28:00.000
7,2022-01-02T04:05:00.000
8,2022-01-01T02:01:00.000
9,2021-12-31T01:09:30.000
10,2021-12-30T02:05:30.000
11,2021-12-29T00:53:00.000
12,2021-12-28T01:02:00.000
13,2021-12-27T00:37:30.000
14,2021-12-26T02:15:00.000
15,2021-12-25T01:33:00.000
16,2021-12-24T01:00:30.000
17,2021-12-23T01:08:30.000
18,2021-12-22T01:04:00.000
19,2021-12-21T03:19:30.000
20,2021-12-20T01:52:00.000
21,2021-12-19T02:50:00.000
22,2021-12-18T01:45:30.000
23,2021-12-17T01:06:00.000
24,2021-12-16T02:00:30.000
25,2021-12-15T00:18:00.000
26,2021-12-14T01:31:00.000
27,2021-12-13T00:14:00.000
28,2021-12-12T00:45:30.000
29,2021-12-11T01:39:30.000
30,2021-12-10T00:18:00.000
